stock_code,year,industry_code,digital,capital,tfp_lp,op_efficiency,roa,rndr,iapply,tat,mer,size,top1,growth,slack,lev,tier1,state_owned
20,2018,C39,0.115127792,0,7.544253349,0.08830590082620116,0.00534,,,1.021847,0.060459,20.25074134,41.21,-0.012679,1.09279,0.475007,0,0
20,2019,C39,0.0,0,7.656243801,0.09171280402034743,0.00889,0.010800635,0.693147181,1.172069,0.052711,20.23815186,42.13,-0.177663,1.512726,0.463615,0,0
20,2020,C39,0.0,0,7.606365681,0.09121289361439722,0.01088,0.011916752,1.098612289,1.113967,0.049847,20.24679616,42.13,-0.046601,1.492171,0.464384,0,0
20,2021,C39,0.104576257,0,7.716052532,0.09708826062341014,0.010913,0.016765963,,1.189102,0.054185,20.28298631,42.13,-0.235114,1.206274,0.479568,0,0
21,2012,C39,0.625454432,0,9.944066048,0.022125875555435326,0.00083,0.014522596,2.197224577,1.59854,0.018644,23.05142697,49.64,0.015679,1.245129,0.59178,0,1
21,2013,C39,0.231345816,0,9.881749153,0.0217152302055319,0.011574,0.012473206,2.833213344,1.258122,0.023676,23.20432825,44.51,0.095468,1.255568,0.638573,0,1
21,2014,C39,0.163738477,0,9.915529251,0.03004731632414126,0.011111,0.010684639,2.564949357,1.167206,0.020326,23.36862373,44.51,0.029238,1.238318,0.649905,0,1
21,2015,C39,0.151588649,0,9.715086937,0.04064676515167365,0.012601,0.011683279,2.890371758,1.06724,0.026216,23.39007507,44.51,0.034506,1.165486,0.636919,0,1
21,2016,C39,0.15706724,0,9.578840256,0.054107974490721245,0.019095,0.012808134,3.63758616,1.156725,0.033037,23.290324,44.51,0.215266,1.167347,0.547908,0,1
21,2017,C39,0.289496348,0,9.576740265,0.060846734193475416,0.034573,0.011235751,3.218875825,1.003627,0.035867,23.37357588,44.51,-0.015386,1.078056,0.642835,0,1
21,2018,C39,1.3139357489999999,0,9.697757721,0.043341012395919476,0.036383,0.012434538,3.610917913,0.999476,0.025747,23.50018463,44.51,-0.206213,1.119459,0.589001,0,1
21,2019,C39,0.195016674,0,9.453409195,0.09066739816867342,0.023945,0.012084699,4.127134385,0.778038,0.033201,23.56963321,43.51,-0.133129,1.077716,0.615132,0,1
21,2020,C39,0.378460548,0,9.529688835,0.10779221690245411,0.044054,0.012727849,3.80666249,0.746719,0.031654,23.72119538,36.61,0.214494,1.235896,0.629761,0,1
21,2021,C39,1.812842175,0,9.560423851,0.0921948558093878,0.030835,0.012748725,4.17438727,0.677365,0.038096,23.9154597,34.51,-0.021348,1.154871,0.575808,0,1
30,2013,C36,0.073844881,0,8.887514114,0.13353814993760693,0.083031,0.016966176,2.302585093,1.465406,0.089279,22.62389983,24.31,0.127177,1.449072,0.402571,0,1
30,2014,C36,0.082850041,0,8.846531868,0.1487570788663165,0.092477,0.01733942,2.302585093,0.696732,0.099411,22.69605866,24.31,0.010848,1.693147,0.345046,0,1
30,2015,C36,0.082705461,0,8.618593216,0.1448393585098482,0.064925,0.015135724,1.791759469,0.564128,0.114784,22.76165693,24.41,0.391913,1.927048,0.343888,0,1
30,2016,C36,0.086466295,0,8.928163528,0.14481469244211642,0.074575,0.014594737,1.098612289,0.682692,0.097512,22.87260442,24.41,0.235995,1.751659,0.3635,0,1
30,2017,C36,0.082834943,0,9.127200127,0.14581871883484643,0.079011,0.016731513,1.945910149,0.740149,0.087905,22.9973144,24.41,0.254516,1.686763,0.389791,0,1
30,2018,C36,0.081221572,1,9.142331123,0.12413100074133665,0.074787,0.01941033,2.197224577,0.712362,0.068722,23.12327148,24.41,0.157877,1.574832,0.389844,0,1
30,2019,C36,0.451674584,1,9.377807617,0.10890246782018664,0.068359,0.017383775,2.197224577,0.818105,0.050268,23.23297597,24.41,0.41254,1.497576,0.423117,0,1
30,2020,C36,2.0318931989999998,1,9.464101791,0.10747017954535387,0.06282,0.017696278,2.995732274,0.81173,0.056914,23.34000772,24.41,0.052302,1.528329,0.427812,0,1
30,2021,C36,0.751361844,1,9.549173355,0.09939967286359996,0.052376,0.025919947,4.060443011,0.874976,0.054686,23.40847081,24.41,0.29908,1.471208,0.427218,0,1
45,2012,C39,0.0,1,7.355832577,0.03251291949163626,-0.043064,0.0296343,,0.458195,0.147614,21.3354436,54.26,0.615932,1.81793,0.307152,0,1
45,2013,C39,0.0,1,7.648070335,0.02825459769386318,0.016559,0.030766497,0.693147181,0.478021,0.126512,21.58455544,46.21,0.201528,6.518664,0.194236,0,1
45,2014,C39,0.0,1,7.734476089,0.03480025775147022,-0.040241,0.019409844,1.098612289,0.426802,0.098679,21.76610873,46.21,0.16147,3.800204,0.221956,0,1
45,2015,C39,0.0,1,7.774775982,0.05909276856702794,0.002862,1.054584206,1.098612289,0.423587,0.083998,21.79723136,46.21,-0.119224,3.294426,0.267673,0,1
45,2016,C39,0.0,1,7.777647972,0.04999500613510166,-0.021184,0.011090102,1.791759469,0.338046,0.089219,21.9886603,46.21,0.113247,6.105373,0.164936,0,1
45,2017,C39,0.0,1,8.006185532,0.11250163372098032,0.017556,0.009388942,0.693147181,0.354898,0.077501,22.14821979,45.78,0.224184,5.760446,0.160336,0,1
45,2018,C39,0.0,1,7.744172096,0.09468250548571966,-0.013488,0.009518327,1.609437912,0.288682,0.069627,22.20656779,45.78,-0.623458,2.930836,0.251066,0,1
45,2019,C39,0.0,1,8.297369957,0.07594538015792651,-0.004089,0.011622996,2.079441542,0.471703,0.044885,22.24393847,45.96,-0.180461,4.585641,0.149354,0,1
45,2020,C39,0.0,1,8.308859825,0.1261386990705271,0.008753,0.01413774,1.386294361,0.443948,0.049832,22.28151018,46.1,0.031439,3.966579,0.215358,0,1
45,2021,C39,0.0,1,8.063732147,0.17183356330687793,0.013479,0.019637154,1.609437912,0.435158,0.053227,22.38549875,46.21,0.088843,3.335464,0.288691,0,1
49,2012,C38,0.0,0,9.129560471,0.1448964718909569,0.091728,0.061715765,3.784189634,1.947984,0.068764,21.21813019,47.31,0.728592,1.208461,0.750595,0,1
49,2013,C38,1.086932892,0,9.419184685,0.13018951735356776,0.081587,0.039910277,4.060443011,1.682797,0.04948,21.68498081,45.68,1.358698,1.215854,0.806481,0,1
49,2014,C38,0.194933674,0,9.688612938,0.09626921702730462,0.066918,0.02845316,4.025351691,1.58813,0.033254,22.11538028,45.23,0.54791,1.196656,0.803558,0,1
49,2015,C38,0.608469902,0,9.936480522,0.07947767547712292,0.090548,0.035103873,3.784189634,2.08814,0.030747,22.11928499,45.23,0.205368,1.383223,0.647971,0,1
49,2016,C38,1.806249624,0,9.8664217,0.08847291218048992,0.067956,0.047017686,4.753590191,2.041188,0.03778,22.17585889,45.23,0.420699,1.247171,0.708479,0,1
49,2017,C38,2.351465748,0,9.905794144,0.08008445250307095,0.047745,0.054532074,4.382026635,1.956304,0.040141,22.57681471,45.23,0.508158,1.114531,0.761753,0,1
49,2018,C38,2.484654954,0,10.21843338,0.07596763527957273,0.05958,0.037295202,3.36729583,2.098307,0.010844,22.82990251,45.23,0.032908,1.211484,0.743297,0,1
49,2019,C38,2.4678561720000003,0,10.23190117,0.07645396926184289,0.076377,0.033689526,2.944438979,2.096691,0.01172,22.89757318,44.8,0.1325,1.342388,0.673751,0,1
49,2020,C38,3.011846598,0,10.26038742,0.08144336297773802,0.081895,0.039392028,3.218875825,2.178375,0.011558,22.90984767,44.8,0.276976,1.189614,0.687771,0,1
49,2021,C38,2.6023406610000004,0,10.27942371,0.08659658028710582,0.073671,0.040992387,2.890371758,1.965142,0.013862,23.01882523,22.86,0.387059,1.269756,0.681789,0,1
50,2012,C39,0.0,1,8.363736153,0.12088761614840993,0.017629,0.021850074,5.111987788,0.546635,0.084417,22.81028805,45.62,-0.04439,0.863854,0.608351,0,1
50,2013,C39,0.0,0,8.429366112,0.16001233622058952,0.035796,0.031371376,5.497168225,0.5728,0.099431,22.78885879,45.62,-0.179688,0.986294,0.588088,0,1
50,2014,C39,0.0,1,8.901255608,0.1556747183333529,0.043774,0.039177497,5.752572639,0.787719,0.107351,23.34400651,25.76,-0.311382,1.077002,0.454445,0,1
50,2015,C39,0.411759862,1,9.060208321,0.1318381716878272,0.025687,0.047344727,5.869296913,0.564291,0.120654,23.64967994,25.76,0.026459,1.831685,0.387465,0,1
50,2016,C39,0.272479564,1,9.102999687,0.16984744242076033,0.026254,0.049769711,6.583409222,0.495832,0.135742,23.79845669,20.81,0.072004,1.737195,0.365342,0,1
50,2017,C39,0.355958448,1,9.330177307,0.18008750226277426,0.027222,0.041181437,6.924612396,0.54596,0.111534,23.96842514,20.81,0.003681,1.104049,0.511848,0,1
50,2018,C39,0.642071752,1,9.540431976,0.13528143138519255,0.016388,0.031407906,7.271008538,0.644705,0.02653,24.77320648,19.02,-0.076185,0.766249,0.566855,0,1
50,2019,C39,1.09951098,1,9.598335266,0.15287617148766808,0.012672,0.029594977,7.302496424,0.482627,0.03604,24.86232878,19.02,-0.222738,0.70542,0.591951,0,1
50,2020,C39,0.310297214,1,9.585562706,0.1834271150780329,0.020046,0.029721218,7.266827348,0.420588,0.033738,24.96465599,15.85,-0.240656,0.850262,0.543647,0,1
50,2021,C39,0.742533822,1,9.734874725,0.1726958492492504,0.019177,0.02686033,7.120444372,0.413393,0.03175,25.06700723,15.85,-0.012657,0.82327,0.566435,0,1
63,2012,C39,0.318248362,0,10.94297695,0.10623660892784292,-0.024241,,8.153925132,0.791482,0.131925,25.39053917,30.76,0.298165,1.136946,0.789302,0,0
63,2013,C39,1.984248123,0,10.81641197,0.16088489784182425,0.014325,0.711612714,7.804659297,0.725054,0.127418,25.36537434,30.78,0.204428,1.263618,0.763931,0,0
63,2014,C39,1.442400153,0,10.89350891,0.18966201277689587,0.025681,0.08733665,8.353497099,0.789857,0.135508,25.3594195,30.78,0.074262,1.26145,0.752458,0,0
63,2015,C39,3.335155316,0,11.09186745,0.19127887,0.030938,0.10744223,8.550627968,0.882279,0.145568,25.45554474,30.59,0.39951,1.515913,0.641433,0,0
63,2016,C39,7.01008548,0,11.10273266,0.18258603960396036,-0.00994,0.095785464,8.847791065,0.771198,0.150642,25.61539002,30.35,0.246253,1.242047,0.711347,0,0
63,2017,C39,4.91703619,0,11.13358974,0.2008241009174312,0.037415,0.090770715,8.702177866,0.762003,0.147217,25.68472183,30.34,0.428301,1.202431,0.684777,0,0
63,2018,C39,4.812951215,0,10.89662552,0.22290236063108426,-0.053725,0.07980302,8.34664209,0.625753,0.042701,25.64073618,30.34,0.38353,1.064655,0.745184,0,0
63,2019,C39,4.537162196,0,10.93806267,0.28499511916814324,0.040911,0.092757466,7.972810784,0.670749,0.052601,25.63058624,27.18,0.349663,1.215193,0.731206,0,0
63,2020,C39,2.935268164,0,10.97760677,0.23803908910891092,0.031345,0.101405908,7.669961995,0.695256,0.049236,25.70631422,22.44,0.014526,1.479431,0.693813,0,0
63,2021,C39,4.047354042,0,11.11465645,0.2791913217391304,0.041691,0.117746389,6.490723535,0.717109,0.047542,25.79655767,21.3,-0.001877,1.683761,0.684246,0,0
66,2012,C39,0.115185477,0,11.10428047,0.039767918195857455,0.002436,0.051503082,2.772588722,2.215818,0.041754,24.30656136,53.92,0.107096,1.192455,0.738523,0,1
66,2013,C39,0.114424986,0,11.10548782,0.03672576065146238,-0.019448,0.043669729,3.135494216,1.985958,0.04106,24.39205925,53.92,0.045263,1.10452,0.77851,0,1
66,2014,C39,0.746203688,0,11.10935593,0.05365248337796458,-0.008379,0.043428829,2.772588722,1.935524,0.042035,24.40935702,53.92,0.139072,1.082594,0.791154,0,1
66,2015,C39,0.115999188,0,11.0486412,0.05257502762017863,-0.004937,0.03660615,2.772588722,1.823219,0.038885,24.41224265,53.92,0.107814,1.141117,0.779422,0,1
66,2016,C39,1.520960739,0,11.52213764,0.060203998704346784,0.005253,0.036988831,3.526360525,1.721384,0.042337,24.41609926,53.92,0.1336,1.286735,0.767378,0,1
66,2017,C39,1.4783989499999999,0,9.315340996,0.17518703370601663,0.04579,0.017938464,4.430816799,0.339152,0.116359,24.23623358,40.91,0.414324,1.475957,0.502777,0,1
